[2025-10-20 22:01:59.163] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:00.183] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:01.182] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:02.181] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:03.183] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:04.179] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:05.179] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:06.169] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:07.179] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:08.170] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:09.179] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:10.172] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:11.173] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:12.174] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:13.176] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:14.172] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:15.170] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:16.169] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:17.169] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:18.171] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:19.169] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
